indicator,direction,horizon,signals,acc_%,avg_ret_%
Candles,медвежий (−),5,25,64.0,-0.95
Candles,бычий (+),5,15,60.0,0.7
RSI_div,бычий (+),5,174,54.6,0.81
Bollinger,бычий (+),5,92,54.3,0.64
MACD,бычий (+),5,117,53.0,1.2
RSI,бычий (+),5,275,51.6,0.59
Volume,бычий (+),5,47,42.6,0.45
RSI_div,медвежий (−),5,41,41.5,-0.2
Bollinger,медвежий (−),5,52,38.5,-0.01
RSI,медвежий (−),5,31,35.5,-0.2
MACD,медвежий (−),5,17,35.3,-0.23
RSI_div,бычий (+),10,174,55.7,1.63
MACD,бычий (+),10,117,53.0,1.54
Candles,медвежий (−),10,25,52.0,0.38
Bollinger,бычий (+),10,92,51.1,0.59
Volume,бычий (+),10,47,51.1,1.35
RSI,бычий (+),10,275,50.5,0.67
Candles,бычий (+),10,15,46.7,-0.45
RSI,медвежий (−),10,31,38.7,0.63
Bollinger,медвежий (−),10,52,32.7,0.72
RSI_div,медвежий (−),10,41,29.3,0.68
MACD,медвежий (−),10,17,23.5,2.96
Candles,бычий (+),20,15,66.7,1.55
Candles,медвежий (−),20,25,60.0,1.34
RSI_div,бычий (+),20,174,59.2,3.05
Volume,бычий (+),20,47,53.2,2.62
MACD,бычий (+),20,117,52.1,1.81
RSI,бычий (+),20,275,47.3,0.82
Bollinger,бычий (+),20,92,43.5,-0.2
RSI_div,медвежий (−),20,41,41.5,1.16
Bollinger,медвежий (−),20,52,36.5,1.5
RSI,медвежий (−),20,31,35.5,1.65
MACD,медвежий (−),20,17,35.3,2.9
