ticker,signal,total_signals,win_5d,acc_5d_%,avg_ret_5d,win_10d,acc_10d_%,avg_ret_10d,win_20d,acc_20d_%,avg_ret_20d
AFLT,ЛОНГ,42,17,40.5,0.59,20,47.6,2.15,23,54.8,1.18
AFLT,ШОРТ,1,0,0.0,-0.71,0,0.0,0.17,1,100.0,6.23
AFLT,ALL,43,17,39.5,0.56,20,46.5,2.1,24,55.8,1.29
BELU,ЛОНГ,20,8,40.0,-0.09,9,45.0,-0.23,10,50.0,0.01
BELU,ALL,20,8,40.0,-0.09,9,45.0,-0.23,10,50.0,0.01
CBOM,ЛОНГ,30,15,50.0,1.09,15,50.0,0.44,12,40.0,5.1
CBOM,ALL,30,15,50.0,1.09,15,50.0,0.44,12,40.0,5.1
FEES,ЛОНГ,19,10,52.6,0.57,12,63.2,1.12,9,47.4,0.24
FEES,ШОРТ,4,1,25.0,-0.1,2,50.0,0.84,2,50.0,0.48
FEES,ALL,23,11,47.8,0.46,14,60.9,1.07,11,47.8,0.28
GAZP,ЛОНГ,8,5,62.5,0.98,7,87.5,5.82,6,75.0,1.6
GAZP,ШОРТ,3,3,100.0,1.64,3,100.0,3.63,3,100.0,5.55
GAZP,ALL,11,8,72.7,1.16,10,90.9,5.22,9,81.8,2.68
GMKN,ЛОНГ,7,0,0.0,-3.33,0,0.0,-5.82,0,0.0,-6.66
GMKN,ШОРТ,3,0,0.0,-5.18,1,33.3,-2.09,2,66.7,0.64
GMKN,ALL,10,0,0.0,-3.88,1,10.0,-4.7,2,20.0,-4.47
IRAO,ЛОНГ,22,14,63.6,1.19,14,63.6,0.13,10,45.5,0.33
IRAO,ШОРТ,3,0,0.0,-1.97,0,0.0,-6.22,0,0.0,-6.39
IRAO,ALL,25,14,56.0,0.81,14,56.0,-0.64,10,40.0,-0.48
LENT,ЛОНГ,2,2,100.0,8.35,2,100.0,2.93,2,100.0,6.9
LENT,ШОРТ,19,9,47.4,-0.24,11,57.9,-0.39,4,21.1,-1.63
LENT,ALL,21,11,52.4,0.57,13,61.9,-0.08,6,28.6,-0.82
MAGN,ЛОНГ,27,14,51.9,-0.24,8,29.6,-1.9,11,40.7,-1.04
MAGN,ШОРТ,1,1,100.0,6.06,1,100.0,7.3,0,0.0,-1.61
MAGN,ALL,28,15,53.6,-0.02,9,32.1,-1.57,11,39.3,-1.06
MTSS,ЛОНГ,10,7,70.0,1.48,8,80.0,3.86,9,90.0,4.41
MTSS,ШОРТ,7,4,57.1,-0.12,5,71.4,1.31,5,71.4,1.72
MTSS,ALL,17,11,64.7,0.82,13,76.5,2.81,14,82.4,3.3
NLMK,ЛОНГ,12,5,41.7,-0.59,4,33.3,-1.33,4,33.3,-1.51
NLMK,ШОРТ,1,0,0.0,0.14,1,100.0,4.09,1,100.0,8.65
NLMK,ALL,13,5,38.5,-0.53,5,38.5,-0.91,5,38.5,-0.73
NMTP,ЛОНГ,11,10,90.9,2.07,9,81.8,1.52,11,100.0,2.96
NMTP,ALL,11,10,90.9,2.07,9,81.8,1.52,11,100.0,2.96
PHOR,ЛОНГ,4,2,50.0,0.6,1,25.0,-0.1,1,25.0,-0.27
PHOR,ШОРТ,3,2,66.7,0.92,2,66.7,1.62,2,66.7,3.14
PHOR,ALL,7,4,57.1,0.74,3,42.9,0.64,3,42.9,1.19
ROSN,ЛОНГ,13,8,61.5,1.87,8,61.5,3.12,8,61.5,4.39
ROSN,ALL,13,8,61.5,1.87,8,61.5,3.12,8,61.5,4.39
SBER,ЛОНГ,5,3,60.0,-0.16,3,60.0,-0.9,1,20.0,-1.07
SBER,ШОРТ,2,1,50.0,0.14,2,100.0,1.38,1,50.0,0.12
SBER,ALL,7,4,57.1,-0.07,5,71.4,-0.25,2,28.6,-0.73
SIBN,ЛОНГ,14,8,57.1,0.35,6,42.9,0.54,7,50.0,-1.15
SIBN,ШОРТ,1,1,100.0,1.93,1,100.0,1.51,0,0.0,-0.44
SIBN,ALL,15,9,60.0,0.45,7,46.7,0.6,7,46.7,-1.11
SNGSP,ЛОНГ,39,16,41.0,-0.57,12,30.8,-1.64,13,33.3,-1.43
SNGSP,ШОРТ,3,0,0.0,-2.06,0,0.0,-0.96,2,66.7,0.12
SNGSP,ALL,42,16,38.1,-0.68,12,28.6,-1.59,15,35.7,-1.32
TATN,ЛОНГ,22,16,72.7,2.67,14,63.6,4.74,14,63.6,5.01
TATN,ШОРТ,4,4,100.0,3.21,4,100.0,6.62,4,100.0,13.8
TATN,ALL,26,20,76.9,2.75,18,69.2,5.03,18,69.2,6.36
