ticker,date,signal,score,rsi,close,entry,stop,tp1,tp2,exit,exit_reason,rr_planned,ret_pct_net
ROSN,2025-07-09,ЛОНГ,5,32.9,410.25,410.7553,398.46,446.36,456.2,398.46,stop,2.9,-3.193
ROSN,2025-10-02,ЛОНГ,5,29.7,408.0,407.1535,394.03,426.15,435.54,426.15,tp1,1.45,4.466
ROSN,2025-10-05,ЛОНГ,5,28.6,403.05,404.6022,383.13,426.15,435.54,426.15,tp1,1.0,5.126
ROSN,2025-10-22,ЛОНГ,5,40.3,401.95,390.3451,381.1,419.16,428.4,381.1,stop,3.12,-2.568
ROSN,2025-10-23,ЛОНГ,6,34.6,389.85,391.9459,373.04,419.16,428.4,373.04,stop,1.44,-5.024
ROSN,2025-10-24,ЛОНГ,6,34.6,389.8,389.9449,372.94,419.16,428.4,372.94,stop,1.72,-4.561
ROSN,2025-10-27,ЛОНГ,8,27.4,370.15,370.3351,351.23,419.16,428.4,402.6,timeout,2.56,8.512
ROSN,2025-10-28,ЛОНГ,5,32.3,376.5,377.1885,355.98,419.16,428.4,412.95,timeout,1.98,9.281
ROSN,2025-10-29,ЛОНГ,5,33.4,377.95,378.139,357.91,419.16,428.4,407.95,timeout,2.03,7.684
ROSN,2025-10-31,ЛОНГ,5,38.1,382.45,381.6907,361.0,419.16,428.4,419.16,tp1,1.81,9.617
ROSN,2025-11-01,ЛОНГ,5,39.8,384.8,385.1925,366.04,419.16,428.4,419.16,tp1,1.77,8.618
GAZP,2025-07-09,ЛОНГ,5,30.9,119.67,120.06,115.74,127.74,130.56,115.74,stop,1.78,-3.798
GAZP,2025-07-12,ЛОНГ,5,28.6,116.69,116.9584,112.66,127.74,130.56,127.74,tp1,2.51,9.018
GAZP,2025-09-22,ЛОНГ,5,29.5,119.5,119.5798,114.42,127.74,130.56,114.42,stop,1.58,-4.515
GAZP,2025-10-04,ЛОНГ,5,29.4,114.14,114.1971,109.91,120.35,123.0,123.0,tp2,1.44,7.509
GAZP,2025-10-08,ЛОНГ,7,36.0,114.22,114.9975,110.05,120.35,123.0,123.0,tp2,1.08,6.759
GAZP,2025-10-10,ЛОНГ,6,39.9,115.18,115.0575,110.76,120.35,123.0,123.0,tp2,1.23,6.703
GAZP,2026-03-27,ШОРТ,-4,73.3,137.49,137.4313,144.12,133.77,130.83,133.77,tp1,0.55,2.464
SBER,2025-09-19,ЛОНГ,5,27.2,294.84,296.0079,287.88,313.08,319.98,287.88,stop,2.1,-2.946
SBER,2025-09-24,ЛОНГ,5,32.1,293.31,294.0169,285.69,313.08,319.98,285.69,stop,2.29,-3.032
SBER,2025-10-05,ЛОНГ,5,27.1,281.99,282.5312,274.36,313.08,319.98,289.46,timeout,3.74,2.252
SBER,2026-03-15,ШОРТ,-4,64.1,317.63,317.4912,322.6,311.12,304.29,317.87,timeout,1.25,-0.319
SBER,2026-03-19,ШОРТ,-4,68.7,320.77,320.8395,325.5,311.12,304.29,317.91,timeout,2.09,0.713
NLMK,2025-07-08,ЛОНГ,7,36.5,108.68,108.9344,103.83,113.97,116.48,103.83,stop,0.99,-4.886
NLMK,2025-07-09,ЛОНГ,6,38.4,109.22,110.015,103.74,113.97,116.48,103.74,stop,0.63,-5.904
NLMK,2025-08-12,ШОРТ,-5,78.3,128.1,127.7761,134.12,122.42,119.74,122.42,tp1,0.84,3.992
NLMK,2025-09-19,ЛОНГ,5,29.5,108.5,108.3942,103.56,113.97,116.48,103.56,stop,1.15,-4.66
NLMK,2025-09-22,ЛОНГ,5,33.2,109.64,109.9349,105.01,113.97,116.48,105.01,stop,0.82,-4.68
NLMK,2025-10-04,ЛОНГ,5,21.6,100.36,100.4302,96.6,113.97,116.48,96.6,stop,3.54,-4.014
NLMK,2025-10-27,ЛОНГ,6,33.7,95.04,95.0875,90.0,105.97,108.3,101.5,timeout,2.14,6.544
NLMK,2025-11-01,ЛОНГ,5,42.8,98.26,98.3091,92.2,105.97,108.3,105.97,tp1,1.25,7.593
NLMK,2025-11-07,ЛОНГ,5,48.1,100.26,100.6503,95.73,105.97,108.3,105.97,tp1,1.08,5.085
NLMK,2026-03-23,ЛОНГ,5,19.6,99.1,99.1696,93.94,103.01,105.28,93.94,stop,0.73,-5.473
NLMK,2026-03-24,ЛОНГ,5,19.0,98.72,98.8094,94.06,103.01,105.28,94.06,stop,0.88,-5.007
NLMK,2026-03-28,ЛОНГ,5,22.6,96.64,96.7283,94.14,103.01,105.28,94.14,stop,2.43,-2.876
GMKN,2026-01-19,ШОРТ,-5,72.9,158.72,158.3408,162.95,127.15,124.36,162.95,stop,6.77,-3.111
GMKN,2026-01-20,ШОРТ,-5,73.1,158.84,159.0204,162.72,127.15,124.36,162.72,stop,8.61,-2.526
GMKN,2026-01-22,ШОРТ,-4,76.7,161.88,161.2393,166.0,127.15,124.36,166.0,stop,7.16,-3.153
MTSS,2025-07-07,ЛОНГ,6,19.9,193.8,193.7968,184.12,222.01,226.9,206.75,timeout,2.92,6.484
MTSS,2025-07-08,ЛОНГ,6,23.0,195.95,195.998,186.06,222.01,226.9,206.8,timeout,2.62,5.311
MTSS,2025-07-09,ЛОНГ,5,22.2,193.95,195.4477,184.44,222.01,226.9,205.35,timeout,2.41,4.866
MTSS,2025-07-10,ЛОНГ,5,26.7,197.0,197.1485,187.44,222.01,226.9,209.75,timeout,2.56,6.192
MTSS,2025-07-14,ЛОНГ,5,28.2,194.4,195.2976,178.92,222.01,226.9,213.0,timeout,1.63,8.864
MTSS,2025-10-04,ЛОНГ,5,25.6,200.2,200.5002,188.06,212.22,216.9,212.22,tp1,0.94,5.645
MTSS,2025-10-27,ЛОНГ,5,36.8,199.0,199.1495,192.21,209.23,213.84,209.23,tp1,1.45,4.862
MTSS,2025-10-28,ЛОНГ,5,39.7,200.3,200.8504,192.14,209.23,213.84,209.23,tp1,0.96,3.972
MTSS,2025-11-03,ЛОНГ,5,49.5,204.7,204.6022,193.1,209.23,213.84,209.23,tp1,0.4,2.062
MTSS,2026-02-19,ШОРТ,-4,66.5,232.75,232.6336,242.68,222.49,217.61,228.0,timeout,1.01,1.792
MTSS,2026-02-20,ШОРТ,-4,69.2,234.75,234.8825,242.66,222.49,217.61,228.25,timeout,1.59,2.624
MTSS,2026-02-21,ШОРТ,-5,70.7,236.0,235.882,242.29,222.49,217.61,226.55,timeout,2.09,3.756
MTSS,2026-02-22,ШОРТ,-5,71.7,236.75,236.4317,242.11,222.49,217.61,229.0,timeout,2.46,2.943
SIBN,2025-07-09,ЛОНГ,5,29.8,501.55,501.8008,488.72,547.45,559.52,488.72,stop,3.49,-2.807
SIBN,2025-07-10,ЛОНГ,6,29.1,499.8,500.25,487.38,547.45,559.52,487.38,stop,3.67,-2.773
SIBN,2025-07-11,ЛОНГ,5,27.0,494.6,494.7973,482.02,547.45,559.52,506.05,timeout,4.12,2.074
SIBN,2025-07-12,ЛОНГ,5,29.6,497.15,499.2995,484.37,547.45,559.52,513.95,timeout,3.23,2.734
SIBN,2025-09-02,ЛОНГ,5,38.3,517.7,518.0589,496.23,527.44,539.07,539.07,tp2,0.43,3.856
SIBN,2025-09-17,ЛОНГ,8,40.0,514.4,515.8078,500.53,527.44,539.07,500.53,stop,0.76,-3.162
SIBN,2025-09-18,ЛОНГ,5,38.4,512.5,512.7563,500.23,527.44,539.07,500.23,stop,1.17,-2.643
SIBN,2025-09-22,ЛОНГ,6,27.8,495.6,498.0489,471.75,527.44,539.07,471.75,stop,1.12,-5.48
SIBN,2025-09-23,ЛОНГ,5,26.6,493.0,494.247,470.49,527.44,539.07,470.49,stop,1.4,-5.007
SIBN,2025-10-13,ЛОНГ,8,30.7,477.45,476.7382,460.05,507.98,519.18,460.05,stop,1.87,-3.701
