ticker,signal,total_signals,win_5d,acc_5d_%,avg_ret_5d,win_10d,acc_10d_%,avg_ret_10d,win_20d,acc_20d_%,avg_ret_20d
AFLT,ЛОНГ,42,17,40.5,0.59,20,47.6,2.15,23,54.8,1.18
AFLT,ШОРТ,1,0,0.0,-0.71,0,0.0,0.17,1,100.0,6.23
AFLT,ALL,43,17,39.5,0.56,20,46.5,2.1,24,55.8,1.29
FEES,ЛОНГ,19,10,52.6,0.57,12,63.2,1.12,9,47.4,0.24
FEES,ШОРТ,4,1,25.0,-0.1,2,50.0,0.84,2,50.0,0.48
FEES,ALL,23,11,47.8,0.46,14,60.9,1.07,11,47.8,0.28
GAZP,ЛОНГ,8,5,62.5,0.98,7,87.5,5.82,6,75.0,1.6
GAZP,ШОРТ,3,3,100.0,1.64,3,100.0,3.63,3,100.0,5.55
GAZP,ALL,11,8,72.7,1.16,10,90.9,5.22,9,81.8,2.68
GMKN,ЛОНГ,7,0,0.0,-3.33,0,0.0,-5.82,0,0.0,-6.66
GMKN,ALL,7,0,0.0,-3.33,0,0.0,-5.82,0,0.0,-6.66
IRAO,ЛОНГ,22,14,63.6,1.19,14,63.6,0.13,10,45.5,0.33
IRAO,ALL,22,14,63.6,1.19,14,63.6,0.13,10,45.5,0.33
LENT,ЛОНГ,2,2,100.0,8.35,2,100.0,2.93,2,100.0,6.9
LENT,ALL,2,2,100.0,8.35,2,100.0,2.93,2,100.0,6.9
MAGN,ЛОНГ,27,14,51.9,-0.24,8,29.6,-1.9,11,40.7,-1.04
MAGN,ALL,27,14,51.9,-0.24,8,29.6,-1.9,11,40.7,-1.04
MTSS,ЛОНГ,10,7,70.0,1.48,8,80.0,3.86,9,90.0,4.41
MTSS,ШОРТ,7,4,57.1,-0.12,5,71.4,1.31,5,71.4,1.72
MTSS,ALL,17,11,64.7,0.82,13,76.5,2.81,14,82.4,3.3
NLMK,ШОРТ,1,0,0.0,0.14,1,100.0,4.09,1,100.0,8.65
NLMK,ALL,1,0,0.0,0.14,1,100.0,4.09,1,100.0,8.65
NMTP,ЛОНГ,11,10,90.9,2.07,9,81.8,1.52,11,100.0,2.96
NMTP,ALL,11,10,90.9,2.07,9,81.8,1.52,11,100.0,2.96
PHOR,ЛОНГ,4,2,50.0,0.6,1,25.0,-0.1,1,25.0,-0.27
PHOR,ALL,4,2,50.0,0.6,1,25.0,-0.1,1,25.0,-0.27
ROSN,ЛОНГ,13,8,61.5,1.87,8,61.5,3.12,8,61.5,4.39
ROSN,ALL,13,8,61.5,1.87,8,61.5,3.12,8,61.5,4.39
SBER,ЛОНГ,5,3,60.0,-0.16,3,60.0,-0.9,1,20.0,-1.07
SBER,ШОРТ,2,1,50.0,0.14,2,100.0,1.38,1,50.0,0.12
SBER,ALL,7,4,57.1,-0.07,5,71.4,-0.25,2,28.6,-0.73
SIBN,ШОРТ,1,1,100.0,1.93,1,100.0,1.51,0,0.0,-0.44
SIBN,ALL,1,1,100.0,1.93,1,100.0,1.51,0,0.0,-0.44
SNGSP,ШОРТ,3,0,0.0,-2.06,0,0.0,-0.96,2,66.7,0.12
SNGSP,ALL,3,0,0.0,-2.06,0,0.0,-0.96,2,66.7,0.12
TATN,ЛОНГ,22,16,72.7,2.67,14,63.6,4.74,14,63.6,5.01
TATN,ШОРТ,4,4,100.0,3.21,4,100.0,6.62,4,100.0,13.8
TATN,ALL,26,20,76.9,2.75,18,69.2,5.03,18,69.2,6.36
